2023-03-06 20:44:41,735	1496	1084	Button.left	Pressed	SHOOT
2023-03-06 20:44:41,829	1496	1085	Button.left	Released	SHOOT
2023-03-06 20:44:43,777	1499	1085	Button.right	Pressed	AIM
2023-03-06 20:44:43,827	1499	1085	Button.right	Released	AIM
2023-03-06 20:44:43,918	1499	1085	Button.right	Pressed	AIM
2023-03-06 20:44:43,987	1499	1085	Button.right	Released	AIM
2023-03-06 20:44:44,075	1499	1085	Button.right	Pressed	AIM
2023-03-06 20:44:44,165	1499	1085	Button.right	Released	AIM
2023-03-06 20:44:44,347	1327	1080	Button.left	Pressed	SHOOT
2023-03-06 20:44:44,435	1327	1080	Button.left	Released	SHOOT
2023-03-06 20:44:44,663	1107	1059	Button.left	Pressed	SHOOT
2023-03-06 20:44:44,777	1107	1059	Button.left	Released	SHOOT
2023-03-06 20:44:45,859	1123	1055	Button.left	Pressed	SHOOT
2023-03-06 20:44:45,939	1123	1055	Button.left	Released	SHOOT
2023-03-06 20:44:46,057	1123	1055	Button.left	Pressed	SHOOT
2023-03-06 20:44:46,153	1123	1055	Button.left	Released	SHOOT
2023-03-06 20:44:47,963	37	987	Button.left	Pressed	SHOOT
2023-03-06 20:44:48,076	37	987	Button.left	Released	SHOOT
