2023-04-13 12:27:54.782459	shift	pressed	dash
2023-04-13 12:27:54.921916	shift	released	dash
2023-04-13 12:27:55.303369	shift	pressed	dash
2023-04-13 12:27:55.441966	shift	released	dash
2023-04-13 12:27:56.297404	z	pressed	jump
2023-04-13 12:27:56.393584	z	released	jump
2023-04-13 12:27:56.464821	shift	pressed	dash
2023-04-13 12:27:56.608898	shift	released	dash
2023-04-13 12:27:57.100467	right	released	right
2023-04-13 12:27:57.148172	left	pressed	left
2023-04-13 12:27:57.195496	left	released	left
2023-04-13 12:27:57.225614	right	pressed	right
2023-04-13 12:27:57.288619	right	released	right
2023-04-13 12:27:57.491896	left	pressed	left
2023-04-13 12:27:57.555060	left	released	left
2023-04-13 12:27:57.558133	right	pressed	right
2023-04-13 12:27:57.629548	right	released	right
2023-04-13 12:27:57.643901	left	pressed	left
2023-04-13 12:27:57.715221	left	released	left
2023-04-13 12:27:57.732840	right	pressed	right
2023-04-13 12:27:58.084931	shift	pressed	dash
2023-04-13 12:27:58.214417	shift	released	dash
2023-04-13 12:27:58.359685	right	released	right
2023-04-13 12:27:58.362149	left	pressed	left
2023-04-13 12:27:58.516739	left	released	left
2023-04-13 12:27:58.521923	right	pressed	right
2023-04-13 12:27:58.616410	z	pressed	jump
2023-04-13 12:27:58.734549	z	released	jump
2023-04-13 12:27:59.059030	shift	pressed	dash
2023-04-13 12:27:59.272712	shift	released	dash
2023-04-13 12:27:59.595709	shift	pressed	dash
2023-04-13 12:27:59.737088	shift	released	dash
2023-04-13 12:28:00.062876	left	pressed	left
2023-04-13 12:28:00.105239	right	released	right
2023-04-13 12:28:00.145499	right	pressed	right
2023-04-13 12:28:00.163931	left	released	left
2023-04-13 12:28:00.291263	right	released	right
2023-04-13 12:28:00.381121	right	pressed	right
2023-04-13 12:28:00.401805	z	pressed	jump
2023-04-13 12:28:00.559594	z	released	jump
2023-04-13 12:28:00.591444	shift	pressed	dash
2023-04-13 12:28:00.777785	shift	released	dash
2023-04-13 12:28:01.238006	right	released	right
2023-04-13 12:28:01.317821	left	pressed	left
2023-04-13 12:28:01.362025	z	pressed	jump
2023-04-13 12:28:01.493613	z	released	jump
2023-04-13 12:28:01.645922	z	pressed	jump
2023-04-13 12:28:01.802223	right	pressed	right
2023-04-13 12:28:01.828432	z	released	jump
2023-04-13 12:28:01.846604	left	released	left
2023-04-13 12:28:02.306613	right	pressed	right
2023-04-13 12:28:02.446368	right	released	right
2023-04-13 12:28:02.524570	right	pressed	right
2023-04-13 12:28:02.645289	right	released	right
2023-04-13 12:28:02.746799	right	pressed	right
2023-04-13 12:28:02.748811	z	pressed	jump
2023-04-13 12:28:02.873394	z	released	jump
2023-04-13 12:28:03.292137	shift	pressed	dash
2023-04-13 12:28:03.411812	shift	released	dash
2023-04-13 12:28:03.836402	shift	pressed	dash
2023-04-13 12:28:03.973617	shift	released	dash
2023-04-13 12:28:04.181982	right	released	right
2023-04-13 12:28:04.196912	left	pressed	left
2023-04-13 12:28:04.740312	left	released	left
2023-04-13 12:28:04.741980	right	pressed	right
2023-04-13 12:28:04.742851	z	pressed	jump
2023-04-13 12:28:04.866578	z	released	jump
2023-04-13 12:28:04.998109	z	pressed	jump
2023-04-13 12:28:05.154077	z	released	jump
2023-04-13 12:28:05.479610	shift	pressed	dash
2023-04-13 12:28:05.614078	shift	released	dash
2023-04-13 12:28:06.147146	right	released	right
2023-04-13 12:28:06.152969	left	pressed	left
2023-04-13 12:28:06.262125	left	released	left
2023-04-13 12:28:06.263294	right	pressed	right
2023-04-13 12:28:06.354753	right	released	right
2023-04-13 12:28:06.357491	left	pressed	left
2023-04-13 12:28:06.430147	left	released	left
2023-04-13 12:28:06.444675	right	pressed	right
2023-04-13 12:28:06.521900	right	released	right
2023-04-13 12:28:06.550284	left	pressed	left
2023-04-13 12:28:06.646925	left	released	left
2023-04-13 12:28:06.664992	right	pressed	right
2023-04-13 12:28:06.770154	z	pressed	jump
2023-04-13 12:28:06.863245	z	released	jump
2023-04-13 12:28:07.226758	shift	pressed	dash
2023-04-13 12:28:07.367220	shift	released	dash
2023-04-13 12:28:07.898847	shift	pressed	dash
2023-04-13 12:28:08.026466	shift	released	dash
2023-04-13 12:28:09.555650	z	pressed	jump
2023-04-13 12:28:09.610923	z	released	jump
2023-04-13 12:28:11.278961	right	released	right
2023-04-13 12:28:11.413769	left	pressed	left
2023-04-13 12:28:11.462530	z	pressed	jump
2023-04-13 12:28:11.608109	z	released	jump
2023-04-13 12:28:11.663367	left	released	left
2023-04-13 12:28:11.709149	z	pressed	jump
2023-04-13 12:28:11.747251	right	pressed	right
2023-04-13 12:28:11.913893	z	released	jump
2023-04-13 12:28:12.025141	right	released	right
2023-04-13 12:28:12.030376	left	pressed	left
2023-04-13 12:28:12.160299	left	released	left
