2023-03-06 20:44:41.600	0	1
2023-03-06 20:44:41.800	0	0
2023-03-06 20:44:42.000	0	0
2023-03-06 20:44:42.200	0	0
2023-03-06 20:44:42.400	0	0
2023-03-06 20:44:42.600	0	0
2023-03-06 20:44:42.800	0	0
2023-03-06 20:44:43.000	0	0
2023-03-06 20:44:43.200	0	0
2023-03-06 20:44:43.400	0	0
2023-03-06 20:44:43.600	1	0
2023-03-06 20:44:43.800	1	0
2023-03-06 20:44:44.000	1	0
2023-03-06 20:44:44.200	0	1
2023-03-06 20:44:44.400	0	0
2023-03-06 20:44:44.600	0	1
2023-03-06 20:44:44.800	0	1
2023-03-06 20:44:45.000	0	1
2023-03-06 20:44:45.200	0	1
2023-03-06 20:44:45.400	0	1
2023-03-06 20:44:45.600	0	1
2023-03-06 20:44:45.800	0	1
2023-03-06 20:44:46.000	0	1
2023-03-06 20:44:46.200	0	1
2023-03-06 20:44:46.400	0	1
2023-03-06 20:44:46.600	0	1
2023-03-06 20:44:46.800	0	1
2023-03-06 20:44:47.000	0	1
2023-03-06 20:44:47.200	0	1
2023-03-06 20:44:47.400	0	1
2023-03-06 20:44:47.600	0	1
2023-03-06 20:44:47.800	0	1
2023-03-06 20:44:48.000	0	0
