2021-12-07 23:01:05,110	1073	1069	Pressed	Button.left	Mouse	other
2021-12-07 23:01:05.610875590	1073	1069	Released	Button.left	Mouse	other
2021-12-07 23:01:07,645	1492	847	Pressed	Button.left	Mouse	other
2021-12-07 23:01:07.812847171	1492	847	Released	Button.left	Mouse	other
2021-12-07 23:01:09,414	1289	224	Pressed	Button.left	Mouse	other
2021-12-07 23:01:09.828798191	1289	224	Released	Button.left	Mouse	other
2021-12-07 23:01:41,787	1489	644	Pressed	Button.left	Mouse	other
2021-12-07 23:01:42.049012611	1489	644	Released	Button.left	Mouse	other
2021-12-07 23:01:41,973	1455	650	Pressed	Button.left	Mouse	other
2021-12-07 23:01:42.421074848	1455	650	Released	Button.left	Mouse	other
2021-12-07 23:01:42,170	1453	651	Pressed	Button.left	Mouse	other
2021-12-07 23:01:43.953497507	1453	651	Released	Button.left	Mouse	other
2021-12-07 23:01:46,110	723	568	Pressed	Button.left	Mouse	other
2021-12-07 23:01:47.514860249	723	568	Released	Button.left	Mouse	other
2021-12-07 23:01:46,317	716	566	Pressed	Button.left	Mouse	other
2021-12-07 23:01:46.692791784	716	566	Released	Button.left	Mouse	other
2021-12-07 23:01:46,540	730	556	Pressed	Button.left	Mouse	other
2021-12-07 23:01:46.545759796	730	556	Released	Button.left	Mouse	other
2021-12-07 23:01:46,680	725	557	Pressed	Button.left	Mouse	other
2021-12-07 23:01:46.981185855	725	557	Released	Button.left	Mouse	other
2021-12-07 23:01:46,846	723	557	Pressed	Button.left	Mouse	other
2021-12-07 23:01:48.570753684	723	557	Released	Button.left	Mouse	other
2021-12-07 23:01:47,046	711	558	Pressed	Button.left	Mouse	other
2021-12-07 23:01:47.614583770	711	558	Released	Button.left	Mouse	other
2021-12-07 23:01:47,237	712	558	Pressed	Button.left	Mouse	other
2021-12-07 23:01:48.386090773	712	558	Released	Button.left	Mouse	other
2021-12-07 23:01:47,482	712	558	Pressed	Button.left	Mouse	other
2021-12-07 23:01:48.285799717	712	558	Released	Button.left	Mouse	other
2021-12-07 23:01:47,707	712	558	Pressed	Button.left	Mouse	other
2021-12-07 23:01:47.710451013	712	558	Released	Button.left	Mouse	other
2021-12-07 23:01:51,230	1346	541	Pressed	Button.left	Mouse	other
2021-12-07 23:01:51.258499056	1346	541	Released	Button.left	Mouse	other
2021-12-07 23:01:54,042	868	412	Pressed	Button.left	Mouse	other
2021-12-07 23:01:54.737304080	868	412	Released	Button.left	Mouse	other
2021-12-07 23:02:03,806	737	221	Pressed	Button.left	Mouse	other
2021-12-07 23:02:03.832067982	737	221	Released	Button.left	Mouse	other
2021-12-07 23:02:29,913	1363	269	Pressed	Button.left	Mouse	other
2021-12-07 23:02:30.183633016	1363	269	Released	Button.left	Mouse	other
2021-12-07 23:02:30,078	1367	269	Pressed	Button.left	Mouse	other
2021-12-07 23:02:30.128310324	1367	269	Released	Button.left	Mouse	other
2021-12-07 23:02:30,334	1352	287	Pressed	Button.left	Mouse	other
2021-12-07 23:02:30.792628654	1352	287	Released	Button.left	Mouse	other
2021-12-07 23:02:30,535	1347	278	Pressed	Button.left	Mouse	other
2021-12-07 23:02:32.516386933	1347	278	Released	Button.left	Mouse	other
2021-12-07 23:02:30,750	1349	275	Pressed	Button.left	Mouse	other
2021-12-07 23:02:31.385495355	1349	275	Released	Button.left	Mouse	other
2021-12-07 23:02:31,902	850	285	Pressed	Button.left	Mouse	other
2021-12-07 23:02:32.525948122	850	285	Released	Button.left	Mouse	other
2021-12-07 23:02:32,198	881	281	Pressed	Button.left	Mouse	other
2021-12-07 23:02:33.796861313	881	281	Released	Button.left	Mouse	other
2021-12-07 23:02:32,390	911	278	Pressed	Button.left	Mouse	other
2021-12-07 23:02:33.153720298	911	278	Released	Button.left	Mouse	other
2021-12-07 23:02:32,582	864	275	Pressed	Button.left	Mouse	other
2021-12-07 23:02:33.248529182	864	275	Released	Button.left	Mouse	other
2021-12-07 23:02:32,702	839	279	Pressed	Button.left	Mouse	other
2021-12-07 23:02:34.133277870	839	279	Released	Button.left	Mouse	other
2021-12-07 23:02:32,861	855	274	Pressed	Button.left	Mouse	other
2021-12-07 23:02:33.632307756	855	274	Released	Button.left	Mouse	other
2021-12-07 23:02:33,038	848	280	Pressed	Button.left	Mouse	other
2021-12-07 23:02:34.840317689	848	280	Released	Button.left	Mouse	other
2021-12-07 23:02:39,127	1599	170	Pressed	Button.left	Mouse	other
2021-12-07 23:02:39.227078438	1599	170	Released	Button.left	Mouse	other
2021-12-07 23:02:44,633	1016	448	Pressed	Button.left	Mouse	other
2021-12-07 23:02:44.657405706	1016	448	Released	Button.left	Mouse	other
2021-12-07 23:02:45,106	1187	264	Pressed	Button.left	Mouse	other
2021-12-07 23:02:45.324821986	1187	264	Released	Button.left	Mouse	other
2021-12-07 23:02:45,477	753	753	Pressed	Button.left	Mouse	other
2021-12-07 23:02:47.009764349	753	753	Released	Button.left	Mouse	other
