"2021-12-07 23:01:45,357" s Pressed
"2021-12-07 23:01:45,765" 's' Released
"2021-12-07 23:01:46,022" 'a' Released
"2021-12-07 23:01:46,025" d Pressed
"2021-12-07 23:01:46,230" a Pressed
"2021-12-07 23:01:46,277" 'd' Released
"2021-12-07 23:01:46,366" 'a' Released
"2021-12-07 23:01:46,414" d Pressed
"2021-12-07 23:01:47,800" w Pressed
"2021-12-07 23:01:47,869" 'r' Released
"2021-12-07 23:01:48,374" w Pressed
"2021-12-07 23:01:48,405" w Pressed
"2021-12-07 23:01:48,436" w Pressed
"2021-12-07 23:01:48,483" w Pressed
"2021-12-07 23:01:48,514" w Pressed
"2021-12-07 23:01:48,547" w Pressed
"2021-12-07 23:01:48,578" w Pressed
"2021-12-07 23:01:48,609" w Pressed
"2021-12-07 23:01:48,640" w Pressed
"2021-12-07 23:01:48,672" w Pressed
"2021-12-07 23:01:48,702" w Pressed
"2021-12-07 23:01:48,747" w Pressed
"2021-12-07 23:01:48,774" 'a' Released
"2021-12-07 23:01:48,776" d Pressed
"2021-12-07 23:01:49,213" 'w' Released
"2021-12-07 23:01:49,542" s Pressed
"2021-12-07 23:01:50,056" s Pressed
"2021-12-07 23:01:50,086" s Pressed
"2021-12-07 23:01:50,118" s Pressed
"2021-12-07 23:01:50,149" s Pressed
"2021-12-07 23:01:50,178" s Pressed
"2021-12-07 23:01:50,183" a Pressed
"2021-12-07 23:01:50,399" 'a' Released
"2021-12-07 23:01:50,421" 's' Released
"2021-12-07 23:01:50,941" w Pressed
"2021-12-07 23:01:51,238" 'w' Released
"2021-12-07 23:01:51,629" w Pressed
"2021-12-07 23:01:52,143" w Pressed
"2021-12-07 23:01:52,172" w Pressed
"2021-12-07 23:01:52,203" w Pressed
"2021-12-07 23:01:52,234" w Pressed
"2021-12-07 23:01:52,266" w Pressed
"2021-12-07 23:01:52,308" w Pressed
"2021-12-07 23:01:52,339" w Pressed
"2021-12-07 23:01:52,369" w Pressed
"2021-12-07 23:01:52,398" w Pressed
"2021-12-07 23:01:52,430" w Pressed
"2021-12-07 23:01:52,474" w Pressed
"2021-12-07 23:01:52,502" 'd' Released
"2021-12-07 23:01:52,846" a Pressed
"2021-12-07 23:01:52,870" 'w' Released
"2021-12-07 23:01:53,317" w Pressed
"2021-12-07 23:01:53,382" 'a' Released
"2021-12-07 23:01:53,386" 'w' Released
"2021-12-07 23:01:53,503" s Pressed
"2021-12-07 23:01:53,622" e Pressed
"2021-12-07 23:01:53,725" 'e' Released
"2021-12-07 23:01:53,997" a Pressed
"2021-12-07 23:01:54,029" 's' Released
"2021-12-07 23:01:54,118" 'a' Released
"2021-12-07 23:01:54,294" w Pressed
"2021-12-07 23:01:54,718" d Pressed
"2021-12-07 23:01:54,870" 1 Pressed
"2021-12-07 23:01:54,981" '1' Released
"2021-12-07 23:01:55,238" 'd' Released
"2021-12-07 23:01:55,239" 2 Pressed
"2021-12-07 23:01:55,349" '2' Released
"2021-12-07 23:01:55,789" 3 Pressed
"2021-12-07 23:01:55,885" '3' Released
"2021-12-07 23:01:56,166" 2 Pressed
"2021-12-07 23:01:56,246" '2' Released
"2021-12-07 23:01:56,421" a Pressed
"2021-12-07 23:01:56,654" 'w' Released
"2021-12-07 23:01:56,934" w Pressed
"2021-12-07 23:01:57,173" 'a' Released
"2021-12-07 23:01:57,680" w Pressed
"2021-12-07 23:01:57,710" w Pressed
"2021-12-07 23:01:57,741" w Pressed
"2021-12-07 23:01:57,786" w Pressed
"2021-12-07 23:01:57,817" w Pressed
"2021-12-07 23:01:57,830" 'w' Released
"2021-12-07 23:01:57,910" f Pressed
"2021-12-07 23:01:57,950" s Pressed
"2021-12-07 23:01:58,045" 'f' Released
"2021-12-07 23:01:58,455" d Pressed
"2021-12-07 23:01:58,957" d Pressed
"2021-12-07 23:01:58,988" d Pressed
"2021-12-07 23:01:58,989" a Pressed
"2021-12-07 23:01:59,054" 'd' Released
"2021-12-07 23:01:59,367" d Pressed
"2021-12-07 23:01:59,629" 'd' Released
"2021-12-07 23:01:59,774" 's' Released
"2021-12-07 23:01:59,997" w Pressed
"2021-12-07 23:02:00,470" 'a' Released
"2021-12-07 23:02:00,806" a Pressed
"2021-12-07 23:02:00,870" 3 Pressed
"2021-12-07 23:02:00,981" 'a' Released
"2021-12-07 23:02:00,984" '3' Released
"2021-12-07 23:02:01,254" d Pressed
"2021-12-07 23:02:01,670" 'd' Released
"2021-12-07 23:02:02,719" 1 Pressed
"2021-12-07 23:02:02,830" '1' Released
"2021-12-07 23:02:02,887" 'w' Released
"2021-12-07 23:02:02,990" 2 Pressed
"2021-12-07 23:02:03,117" '2' Released
"2021-12-07 23:02:04,087" w Pressed
"2021-12-07 23:02:04,190" r Pressed
"2021-12-07 23:02:04,350" 'r' Released
"2021-12-07 23:02:04,454" a Pressed
"2021-12-07 23:02:04,765" 'a' Released
"2021-12-07 23:02:05,877" a Pressed
"2021-12-07 23:02:06,087" 'a' Released
"2021-12-07 23:02:06,199" a Pressed
"2021-12-07 23:02:06,582" 'a' Released
"2021-12-07 23:02:06,974" a Pressed
"2021-12-07 23:02:07,454" 'w' Released
"2021-12-07 23:02:07,703" w Pressed
"2021-12-07 23:02:08,208" w Pressed
"2021-12-07 23:02:08,238" w Pressed
"2021-12-07 23:02:08,270" w Pressed
"2021-12-07 23:02:08,315" w Pressed
"2021-12-07 23:02:08,344" w Pressed
"2021-12-07 23:02:08,376" w Pressed
"2021-12-07 23:02:08,390" 'a' Released
"2021-12-07 23:02:08,486" d Pressed
"2021-12-07 23:02:08,734" 'd' Released
"2021-12-07 23:02:30,934" r Pressed
"2021-12-07 23:02:30,935" a Pressed
"2021-12-07 23:02:30,936" w Pressed
"2021-12-07 23:02:30,990" 'a' Released
"2021-12-07 23:02:31,030" 'r' Released
"2021-12-07 23:02:31,166" d Pressed
"2021-12-07 23:02:31,246" 'w' Released
"2021-12-07 23:02:31,752" d Pressed
"2021-12-07 23:02:31,783" d Pressed
"2021-12-07 23:02:31,797" a Pressed
"2021-12-07 23:02:31,854" 'd' Released
"2021-12-07 23:02:32,333" 'a' Released
"2021-12-07 23:02:33,321" w Pressed
"2021-12-07 23:02:33,429" 'r' Released
"2021-12-07 23:02:33,693" 'a' Released
"2021-12-07 23:02:34,070" a Pressed
"2021-12-07 23:02:34,165" 'a' Released
"2021-12-07 23:02:35,406" 2 Pressed
"2021-12-07 23:02:35,550" '2' Released
"2021-12-07 23:02:35,575" 3 Pressed
"2021-12-07 23:02:35,653" 2 Pressed
"2021-12-07 23:02:35,693" '3' Released
